sentence1,sentence2,gold_score,predicted_score,error,signed_error,error_category
A man with a hard hat is dancing.,A man wearing a hard hat is dancing.,1.0,0.9933716058731079,0.00662839412689209,-0.00662839412689209,Excellent
A young child is riding a horse.,A child is riding a horse.,0.95,0.9539622068405151,0.003962206840515181,0.003962206840515181,Excellent
A man is feeding a mouse to a snake.,The man is feeding a mouse to the snake.,1.0,0.9801015853881836,0.019898414611816406,-0.019898414611816406,Excellent
A woman is playing the guitar.,A man is playing guitar.,0.48000001907348633,0.6470829844474792,0.16708296537399292,0.16708296537399292,Fair
A woman is playing the flute.,A man is playing a flute.,0.55,0.7462276220321655,0.19622762203216548,0.19622762203216548,Fair
A woman is cutting an onion.,A man is cutting onions.,0.5230000019073486,0.7546188831329346,0.23161888122558594,0.23161888122558594,Poor
A man is erasing a chalk board.,The man is erasing the chalk board.,1.0,0.9815389513969421,0.01846104860305786,-0.01846104860305786,Excellent
A woman is carrying a boy.,A woman is carrying her baby.,0.4665999889373779,0.6809810996055603,0.21438111066818238,0.21438111066818238,Poor
Three men are playing guitars.,Three men are on stage playing guitars.,0.75,0.8914711475372314,0.14147114753723145,0.14147114753723145,Fair
A woman peels a potato.,A woman is peeling a potato.,1.0,0.9549218416213989,0.045078158378601074,-0.045078158378601074,Excellent
People are playing cricket.,Men are playing cricket.,0.6400000095367432,0.8655272722244263,0.22552726268768308,0.22552726268768308,Poor
A man is playing a guitar.,A man is playing a flute.,0.31659998893737795,0.5417838096618652,0.22518382072448728,0.22518382072448728,Poor
The cougar is chasing the bear.,A cougar is chasing a bear.,1.0,0.9809772372245789,0.019022762775421143,-0.019022762775421143,Excellent
The man cut down a tree with an axe.,A man chops down a tree with an axe.,1.0,0.9263346791267395,0.0736653208732605,-0.0736653208732605,Good
The man is playing the guitar.,A man is playing a guitar.,0.9817999839782715,0.966414213180542,0.015385770797729514,-0.015385770797729514,Excellent
A man is finding something.,A woman is slicing something.,0.1600000023841858,0.061895012855529785,0.09810498952865601,-0.09810498952865601,Good
The girl sang into a microphone.,The lady sang into the microphone.,0.48000001907348633,0.7929201722145081,0.31292015314102173,0.31292015314102173,Poor
A man is climbing a rope.,A man climbs a rope.,1.0,0.956871509552002,0.04312849044799805,-0.04312849044799805,Excellent
Kittens are eating food.,Kittens are eating from dishes.,0.8,0.9118955135345459,0.11189551353454585,0.11189551353454585,Good
A man is speaking.,A man is spitting.,0.1271999955177307,0.36104676127433777,0.23384676575660707,0.23384676575660707,Poor
A woman is cooking eggs.,A woman is cooking something.,0.6,0.7287824153900146,0.12878241539001467,0.12878241539001467,Fair
A man is playing a guitar.,A man is playing a trumpet.,0.3427999973297119,0.5095633864402771,0.1667633891105652,0.1667633891105652,Fair
An animal is chewing on something.,An animal is chewing on a key chain.,0.6400000095367432,0.7969233989715576,0.15692338943481443,0.15692338943481443,Fair
A man is playing a flute.,A man is playing guitar.,0.43340001106262205,0.5152467489242554,0.08184673786163332,0.08184673786163332,Good
A man is playing soccer.,A man is playing flute.,0.2,0.3810449540615082,0.18104495406150817,0.18104495406150817,Fair
A girl is riding a horse.,A girl is riding a bicycle.,0.38340001106262206,0.5949643850326538,0.21156437397003175,0.21156437397003175,Poor
A man is lifting weights in a garage.,A man is lifting weights.,0.85,0.7490595579147339,0.10094044208526609,-0.10094044208526609,Good
An animal is biting a persons finger.,A slow loris is biting a persons finger.,0.6,0.6846778988838196,0.0846778988838196,0.0846778988838196,Good
A woman is reading.,A woman is kneading dough.,0.2,0.34796565771102905,0.14796565771102904,0.14796565771102904,Fair
A man is crying.,A woman is dancing.,0.12000000476837158,-0.03945546597242355,0.15945547074079514,-0.15945547074079514,Fair
